Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,,,Fossatti,,,,,,,,,,,,,,
N,,,Gary,,,,,,,,,,,,,,
N,गौडपाद,"A teacher of the 6th century who formalized the school of Advaita Vedanta through his writings, Māṇḍūkya Kārikā",Gauḍapāda,Gaudapada,,,gauDapAda,,,,,,,gauDapaada,,,
N,गौराङ्ग,one of the names of Caitanya Mahāprabhu (चैतन्य महाप्रभु),Gaurāṅga,Gauranga,,,gaurAGga,garanga,Caitanya Mahāprabhu,Chaitanya Mahaprabhu,Chaitanya,,,gauraa~Nga,,,
N,,,Gauri Jones,,,,,,,,,,,,,,
N,,,Gautam John Maxon,,,,,maxon,,,,,,,,,
N,गौतम,Viṣṇu tricked sage Gautama’s wife,Gautama,,,,gautama,,,,,,,,,,
N,,,George Ivanovich Gurdjieff,,,,,gurdjieff,,,,,,,,,
N,,,George Svenson,,,,,svenson,,,,,,,,,
N,,,Gibbs,,,,,,,,,,,,,,
N,,,Gina,,,,,,,,,,,,,,
N,,,Gita,,,,,,,,,,,,,,
N,,,Greg,,,,,,,,,,,,,,
N,,,Gregory,,,,,,,,,,,,,,
N,,,Gregory Bateson,,,,,,,,,,,,,,
N,,,Gustav,,,,,,,,,,,,,,
N,,,Gyandev,,,,,,,,,,,,,,
N,,,Gyaneshwar,,,,,,,,,,,,,,
N,,,Hamsa Robin Heinrich,,,,,hamsa,heinrich,,,,,,,,
N,,,Hariakhan Baba Maharaj,,,,,hariakhan,harikhan,,,,,,,,
N,,author of book Myths and Symbols in Indian Art and Civilization,Heinrich Zimmer,,,,,zimmer,,,,,,,,,
N,,,Herbert,,,,,,,,,,,,,,
N,,German-American philosopher and social theorist,Herbert Marcuse,,,,,marcuse,,,,,,,,,
N,,,Hippocrates,,,,,,,,,,,,,,
N,हिरण्याक्ष,one of two brothers who destroyed saintly people during battles in sat yuga,Hiraṇyākṣa,Hiranyaksa,Hiraṇyākṣha,Hiranyaksha,hiraNyAkSa,,,,,,,hiraNyaakSha,hiraNyaaxa,,
N,,,Hoffman,,,,,,,,,,,,,,
N,,,Hopkins,,,,,,,,,,,,,,
N,,,Hridaya,,,,,,,,,,,,,,
N,,,Hyde,,,,,,,,,,,,,,
N,,leader of the Theosophical Society,Iqbal Kirsten (I.K.) Taimni,,,,,taimni,tatmjnl,,,,,,,,
N,,,Isaac,,,,,,,,,,,,,,
N,,,"Ishan Vest, D.C.",,,,,ishan,,,,,,,,,
