Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,,"a judge of the anciet Israelites, given superhuman strength",Sampson,,,,,,,,,,,,,,
N,,,Sanjaya Cameron Shuts,,,,,sanjaya,,,,,,,,,
N,,RN,Sanjivani Mary Ann Martel ,,,,,Sanjivani Mary Ann Martel,,,,,,,,,
N,,,Santa Claus,,,,,claus,,,,,,,,,
N,,,Sarada Diffenbaugh,,,,,diffenbaugh,,,,,,,,,
N,,(Ma's friend Shanti's daughter),Sarala,,,,,,,,,,,,,,
N,,as spelled by SB in Zoom,Sarasvati Buhrman,,,,,,,,,,,,,,
N,,,Sarojani Betsy Walsh,,,,,sarojani,,,,,,,,,
N,,RN,Sarojani Cathy Bautista,,,,,,,,,,,,,,
N,,PD's spouse,Sarojani Sondra Rohan,,,,,,,,,,,,,,
N,,"[unconfirmed name of person in a volleyball photo, 1974]",Satyanand,,,,,,,,,,,,,,
N,शावरी,a tribal woman devoted to Sri Rama; she offered berries after tasting each one to make sure they were sweet; an example where in devotional stage cultural rules are broken,Śāvarī,Savari,Śhavāri,Shavari,zavArI,savari,,,,,,shavaarii,,,
N,,,Savita Eisenberg,,,,,savita,,,,,,,,,
N,,,Shankar Clark Heinrich,,,,,Shankar,,,,,,,,,
N,,,Shantam,,,,,,,,,,,,,,
N,,,Shantam Galuten,,,,,shatam,,,,,,,,,
N,,,Sharada Filkow,,,,,sharada,,,,,,,,,
N,,,Sharma,,,,,,,,,,,,,,
N,,,Shekhar Chris Thompson,,,,,Shekar,,,,,,,,,
N,,"known to Baba Hari Dass, very learned man, lived to 135",Shiva Puri Baba,,,,,,,,,,,,,,
N,,,Shlomo Carlebach,,,,,shlomo,,,,,,,,,
N,,,Shyam,,,,,,,,,,,,,,
N,,,Shyama Beth Friedberg,,,,,shyama,,,,,,,,,
N,,,Siddhartha George Hattis (Sid),Sid,,,,Sid,,,,,,,,,
N,,,Simone,,,,,,,,,,,,,,
N,शिर्डी सै बाबा,"aka Sai Baba of Shirdi, a saint in south India and a wrestler ",Śirḍī Sai Baba,Sirdi Sai Baba,Śhirḍī Sai Baba,Shirdi Sai Baba,zirDI sai baba,Shirdi,,,,,,shirDii sai baba,,,
N,,"of ancient Greece, who being punished was to roll a large bolder up a hill, for it to roll down again, and repeat this to eternity",Sisyphus,,,,,,,,,,,,,,
N,,,Sita Farley,,,,,farley,,,,,,,,,
N,शिवानन्द,"Swami Sivananda Saraswati is the founder of ""The Divine Life Society"", ""Yoga-Vedanta Forest Academy"" and author of over 200 books on yoga. Sivananda Yoga is named after him",Śivānanda,Sivananda,Śhivānanda,shivananda,zivAnanda,,,,,,,Śivānanda,,,
N,,,Socrates,,,,,,,,,,,,,,
N,,,Solomon,,,,,,,,,,,,,,
N,सोम्बारी,"also called Sombārī Mahārāja, who lived at Kākarighāt",Sombārī Baba,sombArI,sombaarii,,,Sombari,,,,,,,,,
N,सोपानदेव,"Jñāndev, Sopānadev, Nivṛttīdev, three brothers and Muktābāī, the sister. All four were siddhas.",Sopānadeva,Sopanadeva,,,sopAnadeva,Sopanodev,,,,,,sopaanadeva,,,
N,श्रीयुक्तेश्वर गिरि,guru of Paramahansa Yogananda,Sri Yukteśvara Giri,Sri Yukteśvara Giri,Sri Yukteśhvara Giri,Sri Yuktshvara Giri,Sri Yuktezvara Giri,yukteshwara,yukteshwar,,,,,Sri Yukteshvara Giri,Sri Yukteshwara Giri,,
N,श्रीधर स्वामी ,"author of commentaries on the Gita, including In Devotional View",Srīdhara Swāmī,,,,,tridar,,,,,,,,,
N,,,Stanislav Grof,,,,,stanislav,,,,,,,,,
N,,,Suchitra Fields,,,,,,,,,,,,,,
N,,of Salt Spring Island,Sudarshan Filkow,,,,,sudarshan,,,,,,,,,
N,,,Sudhir Dass,,,,,,,,,,,,,,
N,,,Sukhdev Tom Pettengill,,,,,,,,,,,,,,
N,,,Sulochana Sharon Flynn,,,,,,,,,,,,,,
N,,,Sundar Greg Heinrich,,,,,,,,,,,,,,
N,,,Supriya,,,,,,,,,,,,,,
N,,,Supriya D,,,,,,,,,,,,,,
N,,,Suresh Diffenbaugh,,,,,,,,,,,,,,
N,,,Sushila Ohlson,,,,,Sushila,,,,,,,,,
N,,"Saccidānanda Sarasvatī, founder of Integral Yoga",Swami Satchidananda Saraswati,Saccidānanda Sarasvatī,,,,satchitanand,,,,,,,,,
N,स्वामी विवेकानन्द,,Swāmī Vivekānanda,,,,,vivekananda,,,,,,,,,
N,,,Swarup Eugene Wood,sorupa,,,,swarupa,,,,,,,,,
N,,,Swarup Ken Brodkey,,,,,swarupa,,,,,,,,,
N,,,Swarup Reid Wilburn,sorupa,,,,swarupa,,,,,,,,,
N,,,Tāpan,,,,,Tapan,,,,,,,,,
N,तरक,"a surgeon who, using ayurvedic instruments of thousands of years ago, could divide a hair into two equal parts",Tāraka,Taraka,,,tAraka,taraka,,,,,,taaraka,,,
N,,,Thelma,,,,,,,,,,,,,,
N,,,Thomas,,,,,,,,,,,,,,
N,,,Thomas Aquinas,,,,,,,,,,,,,,
N,,,Thomas the Apostle,,,,,,,,,,,,,,
N,,known as a Bengali Buddhist siddha whose teachings include the six precepts or words of advice,Tilopa,,,,,Tilepa,,,,,,,,,
N,,,Ishwar Totapuri,,,,,,,,,,,,,,
N,,Russian author,Tolstoy,,,,,,,,,,,,,,
N,तोतापुरी,guru of Ramakrishna Paramahansa,Totāpuri Baba,,,,,totapuri,,,,,,,,,
N,,,Tripura Sundari Anand,,,,,tripura,,,,,,,,,
N,तुकाराम,Sant Tukaram Maharaj,Tukaram,,,,,tukaram,,,,,,,,,
N,तुलसीदास,a Vaiṣṇava Hindu saint and poet devoted to Rāma,Tulasīdāsa,,,,,tulsidas,,,,,,,,,
N,त्यागी,means renunciate,Tyāgī,tiagi,,,,tyagi,,,,,,,,,
N,,,Umesh,,,,,,,,,,,,,,
N,,,Uri Geller,,,,,geller,,,,,,,,,
N,,,Urmila Schmidt-Cohen,,,,,urmila,,,,,,,,,
N,वाल्मीकि,"legendary poet, author of the Rāmāyaṇa",Vālmīki,Valmiki,,,vAlmIki,,,,,,,vaalmiiki,wAlmIki,waalmiiki,
N,वासिष्ठ,Vedic ṛṣi,Vāsiṣṭha,Vasistha,Vāsiṣhṭhha,Vasishthha,vAsiSTha,,,,,,,vaasiShTha,,,
N,,,Vasudev,,,,,,,,,,,,,,
N,,"(as in Venn diagram, named after John Venn)",Venn,,,,,ven,,,,,,,,,
N,,"""a satsangi""",Vidya Zamora,,,,,zamora,,,,,,,,,
N,विद्यारण्य,author in 1300s CE of a commentary on the Pañcadaśī Vedānta text and others works,Vidyāraṇya,Vidyaranya,,,vidyAraNya,,,,,,,vidyaaraNya,widyaaraNya,,
N,विज्ञानभिक्षु,a philosopher from Bihar in 15th or 16th century known particulary for his commentary on the Patañjali Yoga Sūtras,Vijñāna Bhikṣu,Vijnana Bhiksu,Vijñāna Bhikṣhu,Vijnana Bhikshu,vijJAna bhikSu,,,,,,,vij~naana bhikShu,wij~naana bhikShu,,
N,,,Vimala,,,,,,,,,,,,,,
N,,,Vinay Kim Greist,,,,,greist,,,,,,,,,
N,,,Vishnu Ma Dozier (Vishnu Priya),Vishnu Priya,,,,priya,,,,,,,,,
N,,,Vishwamitra David Prisk,,,,,vishwamitra,,,,,,,,,
N,विष्णुदेवानन्द सरस्वती,founder of the International Sivananda Yoga Vedanta Centers and Ashrams,Viṣṇudevānanda Saraswatī,Vishuvenanda,Vishudevananda,Vishuvedananda,,vishnudevananda,,,,,,,,,
N,,"an Indian yogi, guru",Viśuddhananda Paramahansa,Vishuddhananda,,,,visshudhananda,,,,,,,,,
N,विश्वामित्र,"a rishi, sage of ancient India",Viśvāmitra,Visvamitra,Viśhvāmitra,Vishvamitra,vizvAmitra,,,,,,,vishvaamitra,wishwaamitra,wishwAmitra,
N,विश्वामित्र,"a rishi, sage of ancient India",Viśvāmitra,,,,,vishwamitra,,,,,,,,,
N,,"[There are 3 possible persons: Vivek PhD, Vevek Winterbothem (sp?), and one other. Reccomend to not try to specify.}",Vivek,,,,,vivek,,,,,,,,,
N,व्तासः,"a rishi, author of the Mahābhārata",Vyāsaḥ,Vyasah,,,vyAsaH,vyasa,,,,,,vyaasaH,,,
N,,,William Shakepeare,,,,,shakespeare,,,,,,,,,
N,,,William Sheldon,,,,,,,,,,,,,,
N,,,Yogesh Warren Lockwood,,,,,yogesh,,,,,,,,,
N,रामाचरक,"lived in India in the early 1900s, has written several books on yoga (e.g., Jnana Yoga)",Yogi Ramacharaka,,,,,yogi rama charaka,,,,,,,,,
