id,collection,dc.contributor,dc.coverage,dc.creator,dc.date.created,dc.description,dc.format.medium,dc.language.iso,dc.relation,dc.rights,dc.rights.holder,dc.rights.license,dc.rights.uri,dc.subject,dc.subject.keyword,dc.subject.person,dc.subject.other,dc.title,dc.title.alternate
+,20.500.14028/114,"Shankar Clark Heinrich||Chetana Mary Jennings",Unknown,"Baba Hari Dass",1977-01-09,"Babaji answers questions and offers his advice about raising children, austerities, the symbolism of the Rāmāyaṇa, and more.","PDF (searchable)",en_US,Satsang,public,"Sri Rama Foundation","Creative Commons: Attribution-NonCommercial-ShareAlike",https://creativecommons.org/licenses/by-nc-sa/4.0/,"HUMANITIES and RELIGION","Hanumān||Hari||Hindu||India||achieve||act||active||agni||aim||alone||anger||apply||attain||atttach||austere||bad||bear||become||being||bird||birth||blue||bondage||boy||brahmacarya||bridge||bring||brother||build||bābājī||cause||chalkboard||change||child||color||come||comment||compassion||confuse||conscious||consider||control||court||cry||darśana||day||decide||desire||develop||devote||difficult||discipline||dog||doubt||drink||dull||eat||ego||element||emotion||end||enjoy||equilibrium||example||extend||faith||family||fear||feel||figure||find||fire||float||follow||force||form||free||full||garuḍa||go||god||gold||good||great||gross||group||guṇa||gārhasthya||harm||have||head||heart||heat||help||hold||honest||household||human||husband||idea||ignore||illusion||individual||inert||intellect||kill||kind||king||kingdom||know||knowledge||large||leap||leave||like||limit||little||live||look||lose||love||mahāśaya||make||man||manner||mean||method||milk||mind||mix||mūla||nature||need||new||night||nivṛtti||note||ocean||old||one||open||origin||pain||part||passion||peace||people||perfect||physical||place||play||positive||power||practical||pravṛtti||progress||proud||prāṇa||prāṇāyāma||pure||put||question||rajas||read||real||reason||recognize||refer||relate||remain||represent||rope||rule||rāmāyaṇa||sage||same||satsaṅga||sattva||say||saṃnyāsin||science||scripture||secret||sect||see||seek||sense||separate||set||shine||show||sit||sky||snake||society||soul||source||story||strong||student||support||suppose||swan||system||take||tamas||tapaḥ||ten||thing||think||three||tie||time||trap||tribe||trouble||two||type||unattached||unconscious||understand||universe||vaiṣṇava||vanaprastha||veda||vehicle||want||watch||water||whole||wife||will||woman||word||world||write||yoga","Baba Hari Dass||Chetana Mary Jennings||Hamsa Robin Heinrich||Lāhirī Mahāśaya||Shankar Clark Heinrich","India's||Indian||LAhirI MahAzaya||Laahirii Mahaashaya||Lahiri Mahasaya||Lahiri Mahashaya||Lāhirī Mahāśhaya||Shankar||aatsang||achieved||achievement||achievements||achiever||achieves||achieving||acted||acting||action||actions||activation||actively||activities||activity||actor||acts||aimable||aimed||aiming||aims||alonely||aloner||alonest||angered||angers||angrily||angry||applicability||applicable||applicably||application||applied||applies||applying||ate||attachable||attached||attachedly||attacher||attaches||attaching||attachment||attainable||attained||attainer||attaining||attainment||attainments||attains||austerelya||austereness||austerities||austerity||bAbAjI||baabaajii||baba||babaji||babaji's||baddest||badly||badness||bare||bearable||bearing||bears||became||becomes||becoming||beings||biofamily||birded||birdier||birdiest||birding||birds||birthed||birthfamily||birthing||birthright||births||blues||bondages||bore||born||borne||boyish||boyishness||boys||brahmachari||brahmachārin||brahmacāri||bridges||bringing||brings||brotherhood||brothers||brought||bsbsji||building||buildings||builds||buildup||built||came||causal||causation||caused||causes||causing||chalkboards||changeable||changed||changer||changes||changing||chetana||childhood||children||colored||coloring||colorings||colorless||colors||comes||coming||commentaries||commentary||commentator||commented||commenting||comments||compassionate||compassionately||confused||confuses||confusing||confusion||confusions||consciously||consciousness||considerable||consideration||considered||considering||considers||controlled||controller||controlling||controls||courtly||courts||crashes||cried||crier||cries||crying||daily||darsana||darshan||darshana||darshans||darzana||darśhana||days||decided||decides||deciding||decision||desirable||desireless||desires||desiring||desirous||developed||developing||development||developmental||develops||devoted||devotee||devotees||devotes||devoting||devotion||devotional||difficulted||difficulties||difficulting||difficults||difficulty||disciplinary||disciplined||disciplines||disciplining||dogged||doggedly||doggedness||doggie||doggy||dogs||doubtable||doubter||doubtful||doubtless||doubts||drank||drinking||drinks||dullard||dullen||duller||dullest||dullness||eater||eaters||eating||egoic||egoically||egoism||egoistic||egoistical||egoization||egos||elemental||elementary||elements||emotionable||emotional||emotionalism||emotionally||emotions||ending||endless||ends||endward||endwise||enforce||enjoyable||enjoyed||enjoying||enjoys||entire||entirely||entirety||equilibrated||equilibrating||equilibrial||equilibriate||equilibriates||equilibriation||equilibriums||exampled||examples||exemplary||exemplify||extended||extending||extends||extension||faithful||faithfully||faiths||familied||families||familylike||fear||feared||fearing||fearlessness||fears||feel||feeling||feels||felt||figured||figurehead||figures||figuring||finder||finding||findling||finds||fired||fires||firing||floated||floater||floating||floatingly||floats||followable||followed||followee||follower||following||follows||forced||forceful||forcefully||forces||forcibly||formed||forming||forms||found||founded||founding||freed||freeing||freely||freer||frees||freest||fuller||fullest||fully||gArhasthya||gaarhasthya||garhasthya||garhastya||garuDa||garuda||godded||godding||godliness||godling||godly||godness||gods||goes||going||golden||goldish||goldless||golds||gone||gooder||goodish||goodlier||goodliest||goodliness||goodly||goods||greater||greatest||greatly||greatness||greats||grosser||grossest||grossish||grossly||grossness||grouped||groupie||groupies||grouping||groups||guNa||guna||gunah||gunas||gunic||had||hamsa||hanumAn||hanumaan||hanuman||hanumans||hari||harmed||harmful||harmfulness||harming||harmless||harmlessness||has||haves||having||headed||headily||headiness||heading||headless||heads||hearted||heartedly||hearting||hearts||heated||heater||heating||heats||heinrich||held||helped||helper||helpers||helping||helps||hindu||holden||holder||holders||holding||holds||honester||honestly||honesty||householder||householders||humaness||humanity||humanoid||humans||husbanded||husbanding||husbandry||husbands||ideas||ideation||ignorance||ignorances||ignorantly||ignorants||ignored||ignoring||illusionable||illusional||illusionary||illusions||india||individualities||individuality||individualizes||individualizing||individually||indu||inertia||inertial||inertialess||inertialessness||inertially||inertialness||inertly||intellects||intellectual||intellectualism||intellectualize||intellectuals||killed||killer||killers||killing||killings||kills||kinder||kindest||kindly||kindness||kinds||kingdoms||kinglier||kingliest||kingliness||kingly||kings||knew||knowable||knowers||knowing||knowingly||knowledgeable||knowledgeably||knowledges||known||knows||lahiri||lahjiri||largelier||largely||largeness||larger||largest||largliest||leaper||leaping||leaps||leapt||leaves||leaving||left||lept||life||liked||likelihood||likely||likeness||likenesses||likes||liking||limitation||limitations||limited||limitedness||limiter||limiting||limits||littler||littles||littlest||lived||livelier||liveliest||liveliness||lively||lives||living||looked||looker||looking||lookism||lookist||looks||loser||loses||losing||loss||lost||loved||lovely||lover||lovers||loves||loving||lovingly||mUla||made||mahAshaya||mahAzaya||mahaashaya||mahasaya||mahashaya||mahāśhaya||maker||makers||makes||making||manly||manned||mannered||mannerism||mannerisms||manneristic||mannerliness||mannerly||manners||manness||manning||mans||meaning||meaningful||meaningless||meanings||means||meant||men||methodical||methodological||methodologically||methodologies||methodology||methods||milked||milks||milky||minded||minder||minders||minding||mindings||minds||mixed||mixes||mixing||mixings||mixture||mixtures||mula||muls||muula||natural||naturalism||naturalist||naturally||naturalness||natured||natures||needed||needier||neediest||neediness||needing||needs||needy||newer||newest||newish||newly||newness||nightish||nightly||nights||nivRRitti||nivR^itti||nivRtti||nivritti||nivrtti||nivṛitti||niwRRitti||niwR^itti||notable||notably||noted||noteful||notes||noting||ocean||olden||older||oldest||oldish||oneness||onenesses||ones||opened||opener||opening||openings||openly||openness||opens||original||originally||originate||originated||origination||originator||pained||painful||painfuller||painfullest||painfully||paining||pains||partable||parted||partedness||parting||partings||partly||parts||passionate||passionately||passioned||passioning||passions||peaceful||peacefully||peacefulness||peopled||peopledom||peoples||perfectability||perfectable||perfecting||perfectionism||perfectionist||perfectly||perfects||physicalism||physicalist||physicality||physically||physicals||placed||placement||placements||places||placing||placings||played||player||players||playing||plays||positiveness||positives||positivism||positivist||positivity||powered||powerful||powerfully||powerfulness||powering||powerings||powers||prANAyAma||prANa||praaNa||praaNaayaama||practicality||practically||practicals||pran||prana||pranayama||pranayarna||pranayuama||pranic||pranyama||pravRRitti||pravR^itti||pravRtti||pravritti||pravrtteh||pravrtti||pravṛitti||prawRRitti||prawR^itti||pride||prideful||pridefully||pridefulness||progressed||progresses||progressing||prouder||proudest||proudly||purely||purer||purest||purity||puts||puttable||putten||putting||questioned||questioner||questioning||questions||rAmAyaNa||raamaayaNa||ramayam||ramayan||ramayana||ramayijnq||reader||reading||reads||realism||realist||realness||reals||realsome||reasonable||reasonableness||reasoned||reasoning||reasons||recognition||recognized||recognizes||recognizing||referant||referenced||references||referrals||referred||referring||refers||related||relatedness||relates||relating||relational||relations||relatively||remainder||remained||remainee||remaining||remains||remnant||remnants||representation||representational||representations||representative||represented||representing||represents||ropable||ropeability||ropeable||roped||roper||ropes||roping||rulable||ruled||ruler||rulers||rules||ruling||sa.mnyAsin||sa.mnyaasin||sa.nnyAsin||sa.nnyaasin||saMnyAsin||saMnyaasin||saatsang||sagely||sages||said||samaha||sameish||samely||sameness||samnyasin||sannyassin||sannysin||sanyasini||sanyassin||satlvh||satsaGga||satsaang||satsang||satsanga||satsangi||satsangis||satsa~Naga||satsa~Nga||sattvaa||sattvam||sattve||sattwa||saw||saying||sayings||says||saṁnyāsin||sciences||scientific||scientifical||scientifically||scientist||scientists||scriptural||scripturally||scriptures||secreted||secreting||secretive||secretively||secretness||secrets||sectarian||sectional||sects||seeing||seeker||seeking||seeks||seen||seer||sees||sensed||senses||sensible||sensing||sensorium||sensuous||separated||separately||separateness||separates||separating||separatingly||separation||seth||sets||setting||settings||shined||shines||shinier||shiniest||shining||shiny||shitali||shitalii||shone||showed||showier||showiest||showing||shown||shows||showy||sitali||sits||sitten||sitter||sitting||sittings||skies||snaked||snakelet||snakes||snakey||snaking||societal||societalization||societally||societies||sought||soulful||soulfully||souls||sourceable||sourced||sourcer||sources||sourcing||storied||stories||storying||strengths||stronger||strongest||strongly||student||students||studenty||supported||supporter||supporting||supportive||supports||supposed||supposer||supposes||supposing||supposition||suppositive||suppositively||swans||systematic||systematically||systematize||systematizing||systemed||systeming||systems||takeable||taken||taker||takes||taking||tamah||tamo||tapaH||tapah||tapaha||tapas||tapasya||tennish||tens||tenth||thingies||thingish||thingism||things||thingy||thinkable||thinker||thinking||thinks||third||thought||thoughtful||thoughtfully||threefold||threes||tied||tier||ties||timed||timelier||timeliest||timeliness||timely||times||timing||took||trapped||trapper||trappier||trappiest||trapping||trappy||traps||tribal||tribalism||tribalist||tribally||tribals||tribes||troubled||troubler||troubles||troubling||troublingly||twofold||twoish||twos||tying||typed||typer||types||typier||typiest||typing||typy||unattachable||unattachedly||unattachedness||unconsciously||unconsciousness||understandable||understanding||understandingly||understands||understood||universal||universally||universes||vaiSNava||vaiShNava||vaishnava||vaishnavas||vaishnavs||vaisnav||vaisnava||vaiṣhṇava||vanaprasta||vedas||vedic||vehicles||vehicular||vehicularly||waiShNava||wanaprastha||wanted||wantedly||wanting||wants||watched||watches||watchful||watchfully||watching||watchingly||watered||waterer||waterier||wateriest||watering||waters||watery||weda||went||wholeness||wholesome||wholesomeness||wholey||wifed||wifely||wifing||willed||willful||willing||wills||wived||wives||wiving||women||worded||wordier||wordiest||wordily||wording||words||wordy||worldies||worldish||worldliness||worldly||worlds||worldy||worse||worser||worsest||worst||writers||writes||writing||writings||wrote||yog||yogas||yogat||yogs||zItalI||śhītalī||śithili","1977-01-09 Satsang","January 9, 1977 satsang"
+,20.500.14028/114,"Shankar Clark Heinrich||Chetana Mary Jennings",Unknown,"Baba Hari Dass",1977-04-24,"Babaji discusses cakra and meditation as well as the use of mantra.  He discusses concentration in context of chess and mdeitation.  He argues that fear of death is key to understanding so many human emotionsand experiences. ","PDF (searchable)",en_US,Satsang,public,"Sri Rama Foundation","Creative Commons: Attribution-NonCommercial-ShareAlike",https://creativecommons.org/licenses/by-nc-sa/4.0/,"HUMANITIES and RELIGION","Hanumān||Hari||Hindu||India||Rudra||accept||accord||act||active||affect||aim||alone||anger||artist||attack||attitude||atttach||automatic||avidyā||aware||ākula||bad||balance||battle||become||begin||being||bhedana||bible||black||bliss||body||breathe||bright||bābājī||bīja||bīja mantra||cakra||cause||center||chalkboard||check||choose||coil||color||come||comment||concentrate||connect||consider||contact||crazy||create||dark||darśana||death||deep||demon||depress||descend||desire||develop||devote||die||differ||direct||dispassion||dormant||down||ear||early||ease||effect||elephant||embody||energy||explain||eye||faculty||faith||father||fear||feel||find||first||five||flame||follow||form||four||friend||full||function||general||gift||give||go||god||good||ground||guru||harm||hate||have||heal||heart||honest||humor||ignore||inner||jealous||just||keep||kill||kind||king||knock||know||kula||kulakuṇḍalinī||kuṇḍalinī||kṣetra||learn||level||light||like||live||look||lose||love||make||manas||mantra||mark||maṇipūra||mean||medicine||meditate||mental||method||mind||mirror||miss||mālā||māra||māyā||mūlādhāra||name||nature||need||negative||nether||new||nine||north||note||nāda||object||one||order||origin||outside||overcome||overpower||pain||paint||part||particular||peace||people||person||physical||pierce||place||play||pollute||positive||pour||prakṛti||pray||prāṇa||purpose||pātāla||quality||question||radiate||read||real||realize||recognize||record||remain||remove||repeat||result||right||rock||rope||rule||rāmāyaṇa||same||satsaṅga||say||saṃskāra||scripture||second||sect||see||seed||send||sense||separate||shine||short||show||side||simple||single||sit||situate||six||sixteen||snake||soul||sound||south||stalk||start||state||stay||stop||story||stupid||sun||support||suppose||syllable||symbol||sādhana||sādhu||take||teach||ten||thing||think||thousand||three||time||toe||together||tree||trick||trouble||turn||two||type||understand||verb||vidyā||watch||water||well||whole||will||word||world||wound||yellow||yoga||śakti||śrī","Baba Hari Dass||Chetana Mary Jennings||Hamsa Robin Heinrich||Ma Renu Horsting||Shankar Clark Heinrich","Akula||India's||Indian||Shankar||aakula||aatsang||acceptability||acceptable||acceptably||acceptance||accepted||accepting||accepts||accordance||accordant||accorded||according||accordingly||accords||acted||acting||action||actions||activation||actively||activities||activity||actor||acts||affectation||affected||affecting||affective||affects||aimable||aimed||aiming||aims||akula||alonely||aloner||alonest||angered||angers||angrily||angry||artisan||artistic||artists||attachable||attached||attachedly||attacher||attaches||attaching||attachment||attacked||attacker||attacking||attacks||attitudes||automate||automated||automates||automatically||automating||automation||avidyA||avidya||avidyaa||awarely||awareness||awarer||awares||awarest||awidyA||awidyaa||bAbAjI||bIja||bIja mantra||baabaajii||baba||babaji||babaji's||baddest||badly||badness||balanced||balancement||balancer||balances||balancing||battled||battles||battling||became||becomes||becoming||beeja||began||beginning||beginnings||begins||beings||bhedan||bibles||biblical||biblically||biija||biija mantra||bija||bija mantra||blacked||blacker||blackest||blacking||blacks||blissful||blissfully||blissfulness||bodies||bodyful||boyfriend||breath||breathes||breathing||breathless||breathlessness||breaths||brighten||brighter||brightest||brightness||bsbsji||cakras||came||causal||causation||caused||causes||causing||cbakra||center||centered||centerpiece||centers||central||centrally||centric||chakra||chakraa||chakras||chakrs||chalkboards||checked||checker||checking||checks||chetana||choose||chooser||chooses||choosing||chose||chosen||coiled||coiling||coils||colored||coloring||colorings||colorless||colors||comes||coming||commentaries||commentary||commentator||commented||commenting||comments||concentrate||concentrated||concentrates||concentrating||concentration||connected||connecting||connection||connections||connects||considerable||consideration||considered||considering||considers||contact||contacted||contacting||contacts||crazier||crazies||craziest||created||creates||creating||creation||creativity||creator||damskaras||darkened||darkening||darkens||darker||darkly||darsana||darshan||darshana||darshans||darzana||darśhana||dead||deader||deadness||deads||deathly||deaths||deeply||deepness||demoness||demonic||demonization||demonize||demonizes||demonizing||demons||depressing||depression||descended||descendent||descending||descends||descent||desirable||desireless||desires||desiring||desirous||developed||developing||development||developmental||develops||devoted||devotee||devotees||devotes||devoting||devotion||devotional||died||dies||differed||different||differently||differing||differs||directed||directing||direction||directions||directly||director||directs||dispassionate||dispassionately||dispassionateness||dispassions||domantly||dormancies||dormancy||dormants||downward||downwardly||downwards||dvidja||dying||earful||earlier||earliest||earliness||earlyish||ears||eased||eases||easier||easiest||easing||effective||effectively||effectiveness||effects||effectual||elephants||embodied||embodies||embodiment||embodying||energetic||energies||energise||energize||energizes||energizing||enflamed||entire||entirely||entirety||explained||explaining||explains||explanation||eyeball||eyed||eyeful||eyeing||eyes||eying||faculties||faithful||faithfully||faiths||fathered||fatherhood||fathering||fatherless||fathers||fear||feared||fearing||fearlessness||fears||feel||feeling||feels||felt||fifth||finder||finding||findling||finds||firstly||firsts||fives||flamed||flames||flaming||followable||followed||followee||follower||following||follows||forefather||formed||forming||forms||found||founded||founding||fours||fouth||friendlier||friendliest||friendly||friends||friendship||fuller||fullest||fully||functional||functioned||functioning||functions||gave||generalization||generalizations||generalize||generalized||generalizing||generally||generals||gifted||giftee||gifter||gifting||gifts||girlfriend||given||giver||gives||giving||givingness||givings||godded||godding||godliness||godling||godly||godness||gods||goes||going||gone||gooder||goodish||goodlier||goodliest||goodliness||goodly||goods||grandfather||grounded||groundedness||groundiest||grounding||groundless||groundlessly||grounds||guru's||gurus||had||hamsa||hanumAn||hanumaan||hanuman||hanumans||hari||harmed||harmful||harmfulness||harming||harmless||harmlessness||has||hated||hateful||hater||hates||hating||hatred||haves||having||healed||healer||healers||healing||healingly||healings||heals||hearted||heartedly||hearting||hearts||heinrich||hindu||honester||honestly||honesty||humored||humoring||humoringly||humorist||humorous||humors||ignorance||ignorances||ignorantly||ignorants||ignored||ignoring||india||indu||innermost||jealousies||jealously||jealousness||jealousy||justly||justness||kSetra||kShetra||keeper||keeping||keeps||kept||killed||killer||killers||killing||killings||kills||kinder||kindest||kindly||kindness||kinds||kinglier||kingliest||kingliness||kingly||kings||knew||knocked||knocker||knocking||knocks||knowable||knowers||knowing||knowingly||known||knows||ksetra||kshetra||kshetras||kuNDalinI||kuNDalinii||kulakuNDalinI||kulakuNDalinii||kulakundali||kulakundalini||kundalini||kundalini'||kundalni||kṣhetra||learnable||learned||learner||learnify||learning||learns||learnt||leveled||levelest||leveling||levelled||levellest||levelling||levels||life||lighted||lighten||lighter||lighting||lightness||lightning||liked||likelihood||likely||likeness||likenesses||likes||liking||lit||lived||livelier||liveliest||liveliness||lively||lives||living||looked||looker||looking||lookism||lookist||looks||loser||loses||losing||loss||lost||loved||lovely||lover||lovers||loves||loving||lovingly||mAlA||mAra||mAyA||mUlAdhAra||maNipUra||maNipuura||maalaa||maara||maayaa||made||maker||makers||makes||making||mala||manipura||manpuri||mara||maras||marked||markedly||marker||markers||marking||markings||marks||maya||meaning||meaningful||meaningless||meanings||means||meant||medicinal||medicinally||medicines||meditated||meditates||meditating||meditation||meditations||meditator||meditators||mentalism||mentalist||mentality||mentalized||mentalizing||mentally||mentals||methodical||methodological||methodologically||methodologies||methodology||methods||minded||minder||minders||minding||mindings||minds||mirrored||mirroring||mirrorings||mirrorize||mirrorized||mirrorizes||mirrors||missed||misses||missing||muladhaara||muladhara||muulaadhaara||nAda||naada||nad||nada||nadam||named||namer||names||naming||namings||natural||naturalism||naturalist||naturally||naturalness||natured||natures||needed||needier||neediest||neediness||needing||needs||needy||negatively||negatives||negativity||netherdom||nethermost||netherness||netherward||netherworld||newer||newest||newish||newly||newness||ninth||northern||northerner||northernly||northward||notable||notably||noted||noteful||notes||noting||nād||objected||objecting||objections||objective||objector||objects||oneness||onenesses||ones||ordered||orderer||ordering||orderly||orders||original||originally||originate||originated||origination||originator||outsides||overcame||overcomes||overcoming||overpower||overpowered||overpowerment||overpowers||pAtAla||paataala||pained||painful||painfuller||painfullest||painfully||paining||pains||paint||paintable||painted||painter||painters||painting||paints||partable||parted||partedness||particularly||particularness||particulars||parting||partings||partly||parts||pataal||patal||patala||peaceful||peacefully||peacefulness||peopled||peopledom||peoples||personally||personification||personifications||personified||personifies||personify||persons||physicalism||physicalist||physicality||physically||physicals||pierceable||pierced||pierces||piercing||placed||placement||placements||places||placing||placings||played||player||players||playing||plays||polluted||polluter||polluters||pollutes||polluting||pollutings||pollution||positiveness||positives||positivism||positivist||positivity||pourability||pourable||poured||pouring||pourings||pours||prANa||praaNa||prakRRiti||prakR^iti||prakRti||prakri||prakrii||prakriti||prakritti||prakrltl||prakrteh||prakrti||prakrtih||prakrtikah||prakṛiti||pran||prana||pranic||prayed||prayer||prayerful||prayerfully||prayers||praying||prays||purposed||purposeful||purposefully||purposely||purposes||qualities||questioned||questioner||questioning||questions||rAmAyaNa||raamaayaNa||radiance||radiant||radiated||radiates||radiating||radiation||radiational||ramayam||ramayan||ramayana||ramayijnq||reader||reading||reads||realism||realist||realizability||realizable||realization||realized||realizes||realizing||realness||reals||realsome||recognition||recognized||recognizes||recognizing||recordable||recordation||recorded||recorder||recording||recordist||records||regift||remainder||remained||remainee||remaining||remains||remnant||remnants||removed||removement||remover||removes||removing||rena||renu||repeatable||repeated||repeating||repeats||repetitions||repetitious||repetitive||resultant||resultantly||resulted||resulting||results||righted||righteous||righteousness||righting||rightly||rightness||rights||rocked||rocker||rockier||rockiest||rocking||rocks||rocky||ropable||ropeability||ropeable||roped||roper||ropes||roping||rudra||rulable||ruled||ruler||rulers||rules||ruling||sAdhana||sAdhu||sa.mskAra||sa.mskaara||sa.nskAra||sa.nskaara||saMskAra||saMskaara||saadhana||saadhu||saatsang||saddhana||sadhaaa||sadhana||sadhu||sadhus||sadus||said||sakti||samaha||sameish||samely||sameness||samskara||samskaraa||samskaraas||samskaras||samskaric||samskarically||samskars||samskraric||sanskaras||sarnskaras||satsaGga||satsaang||satsang||satsanga||satsangi||satsangis||satsa~Naga||satsa~Nga||saw||saying||sayings||says||saṁskāra||scriptural||scripturally||scriptures||secondarily||seconde||seconds||sectarian||sectional||sects||seedable||seeded||seeder||seeding||seeds||seeing||seen||seer||sees||sendee||sender||sending||sends||sensed||senses||sensible||sensing||sensorium||sensuous||sent||separated||separately||separateness||separates||separating||separatingly||separation||shakti||shined||shines||shinier||shiniest||shining||shiny||shone||short||shorted||shorter||shortest||shorting||shortly||shortness||showed||showier||showiest||showing||shown||shows||showy||shrI||shri||shrii||sided||sides||sidewards||sideways||siding||simpleness||simpler||simplest||simplicity||simplify||simplistic||simply||singled||singles||singleton||singling||singly||singular||sits||sitten||sitter||sitting||sittings||situated||situates||situating||situation||situational||sixteenth||sixth||smaskaras||smskaras||snaked||snakelet||snakes||snakey||snaking||soulful||soulfully||souls||sounded||sounder||soundest||sounding||sounds||soundy||southerly||southern||sri||ssdhana||stalkable||stalked||stalkee||stalker||stalking||stalkingly||stalks||startable||started||starter||starting||starts||stated||statelier||stateliest||stately||states||stating||statingly||stayable||stayed||stayer||staying||stays||stoppable||stoppage||stopped||stopper||stopping||stops||storied||stories||storying||stupedly||stupefying||stupider||stupidest||stupidity||stupids||sunned||sunnier||sunniest||sunnily||sunning||sunny||suns||supported||supporter||supporting||supportive||supports||supposed||supposer||supposes||supposing||supposition||suppositive||suppositively||swi||syllables||symbolic||symbolical||symbolically||symbolism||symbolize||symbolizing||symbols||takeable||taken||taker||takes||taking||taught||teacher||teaches||teachier||teachiest||teaching||teachings||tennish||tens||tenth||thingies||thingish||thingism||things||thingy||thinkable||thinker||thinking||thinks||third||thought||thoughtful||thoughtfully||thousands||thousandth||threefold||threes||timed||timelier||timeliest||timeliness||timely||times||timing||toed||toeing||toer||toes||togetherness||took||tree||treed||treeing||trees||tricked||trickedly||tricker||tricking||tricks||trickster||troubled||troubler||troubles||troubling||troublingly||turned||turner||turning||turningly||turns||twofold||twoish||twos||typed||typer||types||typier||typiest||typing||typy||understandable||understanding||understandingly||understands||understood||verbal||verbalism||verbally||verbed||verbing||verbs||vidyA||vidya||vidyaa||watched||watches||watchful||watchfully||watching||watchingly||watered||waterer||waterier||wateriest||watering||waters||watery||welled||weller||wellest||welling||wellness||wells||went||wholeness||wholesome||wholesomeness||wholey||widyA||widyaa||willed||willful||willing||wills||worded||wordier||wordiest||wordily||wording||words||wordy||worldies||worldish||worldliness||worldly||worlds||worldy||worse||worser||worsest||worst||wounded||woundedness||wounding||woundingly||wounds||xetra||yellowed||yellowing||yellowish||yellows||yog||yogas||yogat||yogs||zakti||zrI||śhakti||śhrī","1977-04-24 Satsang","April 24, 1977 Satsang.pdf"
